TestData/Chemistry/C1CC11308A.txt - 1 - Physics  | Chemistry | Physics
TestData/Chemistry/C1CC11308A.txt - 3 - Physics  | Chemistry | Physics
TestData/Chemistry/C1CC11308A.txt - 5 - Physics  | Chemistry | Physics
TestData/Chemistry/C1CC11308A.txt - 7 - Physics  | Chemistry | Physics
TestData/Chemistry/C1CC11308A.txt - Physics | Chemistry | Physics
TestData/Chemistry/1-s2.0-S0143720811001136-main.txt - 1 - Computer Science  | Chemistry | Computer Science
TestData/Chemistry/1-s2.0-S0143720811001136-main.txt - 3 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0143720811001136-main.txt - 5 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0143720811001136-main.txt - 7 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0143720811001136-main.txt - ChemistryBiology | Chemistry | ChemistryBiology
TestData/Chemistry/soil-organic-carbon-soc-changes-under-biodiesel-plantations-pongamia-pinnata.txt - 1 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/soil-organic-carbon-soc-changes-under-biodiesel-plantations-pongamia-pinnata.txt - 3 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/soil-organic-carbon-soc-changes-under-biodiesel-plantations-pongamia-pinnata.txt - 5 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/soil-organic-carbon-soc-changes-under-biodiesel-plantations-pongamia-pinnata.txt - 7 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/soil-organic-carbon-soc-changes-under-biodiesel-plantations-pongamia-pinnata.txt - Chemistry | Chemistry | Chemistry
TestData/Chemistry/1-s2.0-S0010854510000159-main.txt - 1 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0010854510000159-main.txt - 3 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0010854510000159-main.txt - 5 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0010854510000159-main.txt - 7 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0010854510000159-main.txt - ChemistryBiology | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468609013413-main.txt - 1 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468609013413-main.txt - 3 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468609013413-main.txt - 5 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468609013413-main.txt - 7 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468609013413-main.txt - Computer Science | Chemistry | Computer Science
TestData/Chemistry/chem2.txt - 1 - Machine Learning  | Chemistry | Machine Learning
TestData/Chemistry/chem2.txt - 3 - Machine Learning  | Chemistry | Machine Learning
TestData/Chemistry/chem2.txt - 5 - Chemistry  | Chemistry | Chemistry
